		# Total Suggestions Generated	# Total Suggestions Generated	# Total Suggestions Generated	Avg Suggestions per loc	Avg Suggestions per loc	Avg Suggestions per loc	Avg Time Taken (ms)	Avg Time Taken (ms)	Avg Time Taken (ms)	# Exact Matches	# Exact Matches	# Syntactic Matches	# Syntactic Matches	# Loc with Semantic Matches	# Loc with Semantic Matches	# Total Semantic Matches	# Total Semantic Matches
modelName	# loc	Generator	Formula	Reduction %	Generator	Formula	Reduction %	Generator	Formula	Reduction	Generator	Formula	Generator	Formula	Generator	Formula	Generator	Formula
array	9	546.0	67	87.73	60.67	7.44	87.73	59.68	26.99	32.68	7	9	7	5	2	2	40.0	8
bempl	8	887.0	283	68.09	110.88	35.38	68.09	18.58	22.27	-3.68	6	8	4	4	2	0	108.0	0
binary-tree	9	2970.0	1264	57.44	330.0	140.44	57.44	22.55	26.27	-3.71	8	9	0	0	7	0	1128.0	0
c-tree	9	1589.0	697	56.14	176.56	77.44	56.14	15.21	11.27	3.94	6	8	3	3	7	0	683.0	0
class-diagram	6	425.0	261	38.59	70.83	43.5	38.59	16.84	10.97	5.87	5	5	3	2	4	0	142.0	0
classroom	30	11988.0	1957	83.68	399.6	65.23	83.68	20.73	30.58	-9.85	23	25	9	8	21	0	4767.0	0
classroom-fol	38	9821.0	2627	73.25	258.45	69.13	73.25	17.75	33.6	-15.86	30	34	6	22	26	20	3920.0	2062
classroom-rl	30	6907.0	1990	71.19	230.23	66.33	71.19	16.32	15.28	1.04	25	26	11	10	21	0	2963.0	0
courses-v1	55	8568.0	2600	69.65	155.78	47.27	69.65	29.8	41.15	-11.35	16	39	6	9	11	0	1932.0	0
courses-v1-fixable	55	0.0	3048	0.0	0.0	55.42	0.0	0.0	41.04	0.0	0	52	0	22	0	0	0.0	0
courses-v2	67	42101.0	3679	91.26	628.37	54.91	91.26	29.18	32.02	-2.84	38	51	5	21	43	22	8782.0	652
cv	24	7923.0	1498	81.09	330.12	62.42	81.09	15.8	15.22	0.58	15	17	2	2	8	0	1286.0	0
diff-and-cd2	65	0.0	1614	0.0	0.0	24.83	0.0	0.0	12.73	0.0	0	49	0	34	0	0	0.0	0
dll	9	4614.0	838	81.84	512.67	93.11	81.84	17.23	10.67	6.56	7	9	2	2	7	0	1186.0	0
